# BATCH 23: A-HG/2011-SOGA
# Images to recover: 68
# Format: HTML_FILE|IMG_SRC|LOCAL_PATH|SOURCE_URL|SECTION

soga-2011.htm|2011-SOGA/Nov-05/OneFullBin.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-05/OneFullBin.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-05/OneFullBin.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-05/P1030002.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-05/P1030002.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-05/P1030002.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-05/P1030003.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-05/P1030003.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-05/P1030003.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-05/LastLoad.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-05/LastLoad.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-05/LastLoad.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-05/P1030005.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-05/P1030005.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-05/P1030005.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8620.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8620.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8620.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8628.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8628.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8628.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8621.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8621.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8621.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8679.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8679.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8679.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8668.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8668.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8668.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8667.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8667.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8667.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8653.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8653.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8653.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8625.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8625.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8625.jpg|A-HG
soga-2011.htm|2011-SOGA/Nov-01/IMG_8673.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Nov-01/IMG_8673.jpg|http://skydogsports.com/A-HG/2011-SOGA/Nov-01/IMG_8673.jpg|A-HG
soga-2011.htm|2011-SOGA/Oct-05/Oct-07/IMG_8375.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8375.jpg|http://skydogsports.com/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8375.jpg|A-HG
soga-2011.htm|2011-SOGA/Oct-05/Oct-07/IMG_8369.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8369.jpg|http://skydogsports.com/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8369.jpg|A-HG
soga-2011.htm|2011-SOGA/Oct-05/Oct-07/P1020798.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Oct-05/Oct-07/P1020798.jpg|http://skydogsports.com/A-HG/2011-SOGA/Oct-05/Oct-07/P1020798.jpg|A-HG
soga-2011.htm|2011-SOGA/Oct-05/Oct-07/IMG_8348.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8348.jpg|http://skydogsports.com/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8348.jpg|A-HG
soga-2011.htm|2011-SOGA/Oct-05/Oct-07/IMG_8378.jpg|/Users/vishshalit/gith/soga/skydog/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8378.jpg|http://skydogsports.com/A-HG/2011-SOGA/Oct-05/Oct-07/IMG_8378.jpg|A-HG
